"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.817708300E-3,-2.956501923E0,5.116659851E0,6.479276276E0,8.769386108E0
1.288470830E-2,-2.928659821E0,5.179379425E0,6.375691681E0,8.720806384E0
2.295170829E-2,-2.866389313E0,5.230273590E0,6.367758179E0,8.724694478E0
3.301870829E-2,-2.937192078E0,5.257816315E0,6.397845612E0,8.786589678E0
4.308670829E-2,-3.007994843E0,5.257816315E0,6.221512299E0,8.683310466E0
5.315370829E-2,-3.010838928E0,5.292095032E0,5.861510925E0,8.451552000E0
6.322070834E-2,-3.003653870E0,5.297184448E0,5.504353638E0,8.208532671E0
7.328770834E-2,-3.047512665E0,5.340594177E0,5.360652466E0,8.157565474E0
8.335470833E-2,-3.219654694E0,5.292394409E0,5.276677094E0,8.137501833E0
9.342170833E-2,-3.429218903E0,5.275329895E0,4.958738251E0,8.011100600E0
1.034887083E-1,-3.410956879E0,5.364394684E0,5.295238495E0,8.273506383E0
1.135557083E-1,-3.470233612E0,5.264103241E0,5.299729156E0,8.236530422E0
1.236227083E-1,-3.552712097E0,5.162314911E0,5.155728607E0,8.114973565E0
1.336897083E-1,-3.630999298E0,5.122647400E0,4.981191559E0,8.014857555E0
1.437567083E-1,-3.713926849E0,5.055137787E0,4.749922485E0,7.868254845E0
1.538237083E-1,-3.686683502E0,4.969366150E0,4.725223846E0,7.785497773E0
1.638917083E-1,-3.463048553E0,4.801415405E0,5.009333038E0,7.754979862E0
1.739587083E-1,-3.161425781E0,4.666545868E0,5.369484100E0,7.784768642E0
1.840257083E-1,-2.885998535E0,4.524341583E0,5.476062469E0,7.667197303E0
1.940927083E-1,-2.864742737E0,4.398303680E0,5.380710754E0,7.516905908E0
2.041597083E-1,-2.975213013E0,4.334236908E0,5.377267914E0,7.520140442E0
2.142267083E-1,-3.116668854E0,4.412823486E0,5.397924957E0,7.637030163E0
2.242937083E-1,-3.406017151E0,4.533322906E0,5.174140320E0,7.676177268E0
2.343607083E-1,-3.440744934E0,4.409380646E0,4.743785248E0,7.333816323E0
2.444277083E-1,-3.578159180E0,3.922742615E0,3.610491943E0,6.420808735E0
2.544947083E-1,-3.711681519E0,3.850742340E0,3.315605164E0,6.292696867E0
2.645617083E-1,-4.248016205E0,3.730392609E0,5.091362457E0,7.608116874E0
2.746297083E-1,-4.641697540E0,3.942950592E0,7.277416534E0,9.489626275E0
2.846967083E-1,-4.601431274E0,3.972888336E0,8.683592377E0,1.060008434E1
2.947637083E-1,-4.329446869E0,3.769760742E0,9.299112396E0,1.092834377E1
3.048307083E-1,-3.992796936E0,3.587589569E0,9.185798035E0,1.063917816E1
3.148977083E-1,-3.609743500E0,3.471730499E0,8.587043152E0,9.940848600E0
3.249647083E-1,-3.361409912E0,3.378773804E0,8.467441864E0,9.716622908E0
3.350317083E-1,-3.783681793E0,3.244503021E0,8.660690002E0,9.992527162E0
3.450987083E-1,-4.702171783E0,2.824027405E0,8.826844482E0,1.039224392E1
3.551657083E-1,-4.988526306E0,2.399510193E0,9.645342407E0,1.112095652E1
3.652327083E-1,-5.173092499E0,2.710413666E0,1.018003052E1,1.173627921E1
3.752997083E-1,-5.214556274E0,3.351231079E0,9.722731476E0,1.153056175E1
3.853677083E-1,-5.814059601E0,3.282973022E0,8.821904755E0,1.106377894E1
3.954347083E-1,-6.435567169E0,3.021915894E0,8.262667694E0,1.090046687E1
4.055017083E-1,-6.855593719E0,2.883603516E0,8.557105408E0,1.133747712E1
4.155687083E-1,-7.156168671E0,2.737058258E0,9.813742218E0,1.245037246E1
4.256357083E-1,-7.962691498E0,2.568957825E0,1.102292770E1,1.383867535E1
4.357027083E-1,-8.878786469E0,2.614463196E0,1.149414780E1,1.475749642E1
4.457697083E-1,-9.153614960E0,3.190914459E0,1.093835358E1,1.461568270E1
4.558367083E-1,-8.807085571E0,3.669169922E0,9.634115753E0,1.355889931E1
4.659037083E-1,-8.264463959E0,3.411256256E0,8.594078522E0,1.240146037E1
4.759700416E-1,-7.813302155E0,3.018023987E0,8.072712708E0,1.163292095E1
4.860370416E-1,-7.611521759E0,2.689457245E0,7.590415649E0,1.108074246E1
4.961040416E-1,-9.339228973E0,4.004322968E0,8.323291626E0,1.313518115E1
5.061720416E-1,-9.238937531E0,3.946243744E0,9.133406982E0,1.357755241E1
5.162390416E-1,-1.012105316E1,2.133962402E0,8.510103149E0,1.339445289E1
5.263060416E-1,-1.064690964E1,2.581381989E0,9.111103363E0,1.424894460E1
5.363730416E-1,-1.023032593E1,3.277883606E0,9.092392273E0,1.407393643E1
5.464400416E-1,-1.014979340E1,3.086431732E0,8.097561035E0,1.334596799E1
5.565070416E-1,-9.736802216E0,3.078198853E0,7.230713654E0,1.251254752E1
5.665740417E-1,-9.165290680E0,3.120261383E0,6.469845886E0,1.164463353E1
5.766410417E-1,-8.751251678E0,2.895578613E0,5.995632019E0,1.099619865E1
5.867080417E-1,-8.826844482E0,2.822979584E0,5.901328125E0,1.098672248E1
5.967750417E-1,-9.526489563E0,2.957699432E0,5.546865234E0,1.141357539E1
6.068420417E-1,-9.925110626E0,3.110232239E0,4.965773621E0,1.152563548E1
6.169100417E-1,-9.815538483E0,3.376678162E0,4.882696381E0,1.147115840E1
6.269770417E-1,-9.422755280E0,3.419189758E0,4.465214539E0,1.097348243E1
6.370440417E-1,-8.824748840E0,3.029699707E0,3.884122925E0,1.010651687E1
6.471110416E-1,-8.731043701E0,2.786455536E0,3.728746033E0,9.894392631E0
6.571780416E-1,-8.191266174E0,2.927761688E0,3.566483459E0,9.401512342E0
6.672450416E-1,-7.371271362E0,4.153412933E0,1.835483093E0,8.657683217E0
6.773120416E-1,-7.447163544E0,3.432661743E0,-2.902464294E-1,8.205343045E0
6.873790416E-1,-6.571035461E0,3.368145905E0,-1.691482544E-1,7.385900419E0
6.974460416E-1,-6.476432190E0,3.062032471E0,6.643185425E-1,7.194549040E0
7.075130416E-1,-6.574029236E0,2.511327667E0,1.572629700E0,7.210949398E0
7.175800417E-1,-6.732549591E0,2.382894745E0,2.270328827E0,7.493984544E0
7.276470417E-1,-6.891369324E0,2.233056335E0,2.503843231E0,7.664642371E0
7.377150417E-1,-6.739884338E0,2.015109558E0,2.193688202E0,7.368783845E0
7.477820417E-1,-6.568191376E0,1.657652893E0,1.461560669E0,6.930015198E0
7.578490417E-1,-6.566544800E0,1.321751404E0,1.300495605E0,6.823329554E0
7.679160417E-1,-6.904691620E0,1.303938446E0,1.487456818E0,7.182447328E0
7.779830417E-1,-7.234006805E0,2.076481934E0,2.149530029E0,7.827075509E0
7.880500417E-1,-7.220085754E0,1.710193634E0,2.328108673E0,7.776534611E0
7.981170416E-1,-6.801705780E0,6.156697083E-1,1.766027527E0,7.054155083E0
8.081840416E-1,-6.214177551E0,-1.856140137E-2,1.231938171E0,6.335141579E0
8.182510416E-1,-5.966442719E0,-3.507206726E-1,7.126679993E-1,6.019081274E0
