"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.400000468E-4,-2.708467712E0,4.526287537E0,7.961044922E0,9.549937825E0
9.325999999E-3,-2.753524017E0,4.723128204E0,7.725434875E0,9.464257951E0
1.939199999E-2,-2.947819977E0,4.857848053E0,7.674690399E0,9.549303799E0
2.945799998E-2,-3.118465118E0,5.035977631E0,7.649991760E0,9.675136657E0
3.952299996E-2,-3.258573761E0,5.077441406E0,7.440427551E0,9.579074921E0
4.958900000E-2,-3.311862946E0,5.107079773E0,7.248676300E0,9.465411142E0
5.965499999E-2,-3.315455475E0,5.152884521E0,7.078330536E0,9.362009777E0
6.972099998E-2,-3.214116211E0,5.181475067E0,6.805148621E0,9.137191835E0
7.978699997E-2,-3.194357300E0,5.223687286E0,6.669380951E0,9.053809678E0
8.985299995E-2,-3.137625275E0,5.444777527E0,6.479126587E0,9.026038777E0
9.991900000E-2,-3.149450684E0,5.592220917E0,6.592890015E0,9.200987617E0
1.099850000E-1,-3.392844543E0,5.613626404E0,6.939419403E0,9.548808153E0
1.200510000E-1,-3.472778320E0,5.443729706E0,7.426207123E0,9.840880784E0
1.301170000E-1,-2.898422699E0,4.689448242E0,7.793543243E0,9.546260799E0
1.401820000E-1,-4.064348145E0,4.946014709E0,8.088879089E0,1.031561691E1
1.502480000E-1,-4.513713684E0,6.076912994E0,8.328830109E0,1.125486089E1
1.603140000E-1,-4.135749664E0,5.895639954E0,7.984695740E0,1.075259791E1
1.703800000E-1,-3.812422028E0,5.006788330E0,7.425159302E0,9.733215386E0
1.804460000E-1,-3.815415802E0,4.939428406E0,6.666686554E0,9.132363348E0
1.905120000E-1,-4.134252777E0,5.179978180E0,5.916746063E0,8.884374145E0
2.005780000E-1,-4.261188812E0,5.167104950E0,5.511987762E0,8.674025176E0
2.106440000E-1,-4.357887726E0,5.038372650E0,4.762346649E0,8.188792951E0
2.207100000E-1,-4.255500641E0,4.887935486E0,3.758534088E0,7.491847403E0
2.307760000E-1,-3.555256805E0,4.650379486E0,4.133504333E0,7.166012726E0
2.408410000E-1,-4.114044800E0,4.220623169E0,4.149221649E0,7.207986185E0
2.509070000E-1,-5.113965454E0,4.505331116E0,4.755460968E0,8.310539101E0
2.609730000E-1,-4.547243958E0,4.179009705E0,3.783232727E0,7.242540962E0
2.710390000E-1,-4.140988770E0,3.390299835E0,2.807711334E0,6.043605207E0
2.811050000E-1,-4.567302246E0,3.242557068E0,2.901715851E0,6.308278769E0
2.911710000E-1,-4.961432648E0,3.335364075E0,3.822750549E0,7.096047434E0
3.012370000E-1,-5.266647949E0,3.020718384E0,4.756658478E0,7.712854209E0
3.113030000E-1,-5.545817413E0,2.276166687E0,5.073549500E0,7.853529786E0
3.213690000E-1,-5.919889526E0,1.999392242E0,6.723867645E0,9.178946424E0
3.314340000E-1,-5.952671356E0,2.087259521E0,8.210126953E0,1.035360484E1
3.415000000E-1,-5.478008423E0,1.971699829E0,5.644611969E0,8.109119606E0
3.515660000E-1,-5.024301910E0,2.151775360E0,4.788542175E0,7.266628039E0
3.616320000E-1,-4.485721893E0,1.804946594E0,4.913232880E0,6.893430963E0
3.716980000E-1,-4.230951691E0,1.294058990E0,4.277504883E0,6.154070921E0
3.817640000E-1,-4.483775940E0,1.097368011E0,3.824995880E0,5.994919242E0
3.918300000E-1,-4.718637543E0,7.661068726E-1,4.114942932E0,6.307552246E0
4.018960000E-1,-4.974605255E0,1.540296936E-1,4.255350952E0,6.548162667E0
4.119620000E-1,-5.155728607E0,-4.017645264E-1,4.345613251E0,6.754798793E0
4.220280000E-1,-5.006938019E0,-5.105882263E-1,3.959865417E0,6.403956807E0
4.320940000E-1,-3.854484558E0,-2.483335876E-1,3.344345398E0,5.109145420E0
4.421590000E-1,-3.247796173E0,1.302291870E-1,2.807262268E0,4.294864499E0
4.522250000E-1,-3.028053131E0,1.919009399E-1,2.261646881E0,3.784306852E0
4.622910000E-1,-3.500770111E0,2.302212524E-1,1.516646118E0,3.822120961E0
4.723570000E-1,-4.110152893E0,-6.960525513E-2,1.455573120E0,4.360836480E0
4.824230000E-1,-4.645439758E0,-9.301657104E-1,2.072290649E0,5.171045091E0
4.924890000E-1,-4.625381470E0,-2.303110657E0,2.340233459E0,5.672315672E0
5.025550000E-1,-4.806205444E0,-4.058210907E0,2.290836182E0,6.694521413E0
5.126210000E-1,-5.235063629E0,-5.571114807E0,2.388882294E0,8.009367641E0
5.226870000E-1,-6.850653992E0,-5.565576324E0,1.823957062E0,9.012986148E0
5.327530000E-1,-9.144334259E0,-3.786675568E0,1.603465576E0,1.002640827E1
5.428180000E-1,-7.745642853E0,-4.164040833E0,6.177653503E-1,8.815659549E0
5.528840000E-1,-6.879693604E0,-5.655389557E0,-3.174897766E-1,8.911476582E0
5.629500000E-1,-7.896678772E0,-5.858966217E0,6.146218872E-1,9.852044500E0
5.730160000E-1,-8.455466766E0,-6.273154907E0,1.816023560E0,1.068388189E1
5.830820000E-1,-9.530381470E0,-7.514373779E0,2.890788574E0,1.247600268E1
5.931480000E-1,-1.102532272E1,-8.769364014E0,3.680695953E0,1.456046047E1
6.032140000E-1,-1.215277817E1,-1.027149033E1,5.025200043E0,1.668670627E1
6.132800000E-1,-1.317560120E1,-1.097787140E1,5.351072388E0,1.796508010E1
6.233460000E-1,-1.371013962E1,-1.068478088E1,5.888155518E0,1.835218914E1
6.334110000E-1,-1.364906662E1,-1.024275009E1,6.254443817E0,1.817495575E1
6.434770000E-1,-1.400652328E1,-1.015338593E1,5.515879669E0,1.815761187E1
6.535430000E-1,-1.514176254E1,-9.657317505E0,4.935536499E0,1.862515167E1
6.636090000E-1,-1.434317322E1,-8.650361481E0,4.752167816E0,1.741087220E1
6.736750000E-1,-1.337154373E1,-8.286767578E0,4.630021820E0,1.639834750E1
6.837410000E-1,-1.330418381E1,-8.550519104E0,4.681215363E0,1.649322470E1
6.938070000E-1,-1.424842026E1,-8.668324127E0,5.360652466E0,1.751838799E1
7.038730000E-1,-1.544054123E1,-8.943152618E0,6.135740662E0,1.886895879E1
7.139390000E-1,-1.632984192E1,-9.755213928E0,6.321803741E0,2.004477833E1
7.240050000E-1,-1.643986313E1,-1.026550278E1,6.391708374E0,2.040841941E1
7.340700000E-1,-1.567585190E1,-9.782307587E0,6.321354675E0,1.952909110E1
7.441360000E-1,-1.519460266E1,-8.929830322E0,5.097799072E0,1.834680831E1
7.542020000E-1,-1.541135193E1,-8.065527649E0,3.591481476E0,1.776122867E1
7.642680000E-1,-1.634690643E1,-7.150181122E0,2.462678833E0,1.801141935E1
7.743340000E-1,-1.670705750E1,-6.492448883E0,1.488055573E0,1.798588258E1
7.844000000E-1,-1.663700317E1,-6.159092102E0,6.448590088E-1,1.775218672E1
7.944660000E-1,-1.671753571E1,-5.998625793E0,-6.017486572E-2,1.776128184E1
8.045320000E-1,-1.686108719E1,-5.828130341E0,-1.086889801E0,1.787301580E1
8.145980000E-1,-1.708921280E1,-5.451064453E0,-2.224673767E0,1.807496808E1
8.246640000E-1,-1.656081161E1,-4.986280975E0,-2.353705444E0,1.745460995E1
8.347290000E-1,-1.537497757E1,-4.368365936E0,-3.612288208E0,1.638661595E1
8.447950000E-1,-1.357901230E1,-3.357518005E0,-7.093598785E0,1.568380202E1
8.548610000E-1,-1.221923996E1,-2.562521210E0,-6.950646057E0,1.428943039E1
8.649270000E-1,-1.130583939E1,-3.642675018E0,-6.465953979E0,1.352403957E1
8.749930000E-1,-9.154662781E0,-4.673281860E0,-7.632178802E0,1.280224852E1
8.850590000E-1,-7.431446228E0,-4.501439209E0,-7.924371185E0,1.175946456E1
8.951250000E-1,-8.138126678E0,-4.832251282E0,-4.785099335E0,1.060551432E1
9.051910000E-1,-8.394393768E0,-5.990692291E0,-2.767894135E0,1.067780309E1
9.152570000E-1,-7.528594208E0,-6.591093750E0,-1.509461060E0,1.011932410E1
9.253220000E-1,-6.709647217E0,-6.759194183E0,-5.228627014E-1,9.538315217E0
9.353880000E-1,-6.361620941E0,-6.868167572E0,-4.602928162E-1,9.373036662E0
9.454540000E-1,-6.918163605E0,-6.702911224E0,-4.468208313E-1,9.643114403E0
9.555200000E-1,-8.047714691E0,-6.516848145E0,1.037342834E-1,1.035595395E1
9.655860000E-1,-9.546697540E0,-6.669380951E0,6.783892822E-1,1.166534561E1
9.756520000E-1,-1.056038956E1,-6.865772552E0,1.283431091E0,1.266127386E1
9.857180000E-1,-1.110031677E1,-6.620732117E0,1.810036011E0,1.305095232E1
9.957840000E-1,-1.258792328E1,-6.198310547E0,2.502945099E0,1.425270502E1
1.005850000E0,-1.249796036E1,-5.201383667E0,2.540067902E0,1.377335653E1
1.015916000E0,-1.110869934E1,-3.868704987E0,1.447489929E0,1.185180604E1
1.025982000E0,-1.017089951E1,-3.808380432E0,3.879931641E-1,1.086745126E1
1.036047000E0,-9.510472870E0,-4.087998962E0,3.035687256E-1,1.035630164E1
1.046113000E0,-9.284293213E0,-4.352648621E0,1.462608490E0,1.035774464E1
1.056179000E0,-8.589288483E0,-5.904920654E0,1.930236053E0,1.060046111E1
1.066245000E0,-7.011868744E0,-7.328460388E0,2.100432129E0,1.035782072E1
1.076311000E0,-5.300178223E0,-7.832312622E0,1.466350708E0,9.570119884E0
1.086377000E0,-5.153782654E0,-7.509284363E0,2.005828857E-1,9.109942962E0
1.096443000E0,-7.337890778E0,-7.326364746E0,1.035845947E-1,1.036971510E1
1.106509000E0,-8.997040558E0,-7.667954407E0,8.114625549E-1,1.184916601E1
1.116575000E0,-8.064180450E0,-7.886949005E0,1.574575653E0,1.138921681E1
1.126640000E0,-6.331533508E0,-8.980425110E0,2.276166687E0,1.122128720E1
1.136706000E0,-5.413791962E0,-1.090706863E1,3.753893738E0,1.274225285E1
1.146772000E0,-6.292015686E0,-1.242371475E1,5.279670868E0,1.489339028E1
1.156838000E0,-7.393425293E0,-1.137140305E1,5.235961761E0,1.453914854E1
1.166904000E0,-7.123087463E0,-9.003177795E0,3.236569519E0,1.192773942E1
1.176970000E0,-8.799451447E0,-7.737559662E0,2.791994019E0,1.204555544E1
1.187036000E0,-1.016985168E1,-7.882158966E0,3.091371460E0,1.323294717E1
1.197102000E0,-4.243375854E0,-6.897356873E0,-1.292262726E0,8.200592260E0
1.207168000E0,-1.816023560E0,-6.010750580E0,-1.761836243E0,6.521589611E0
1.217234000E0,-1.305585022E0,-7.109465790E0,-3.353027344E-2,7.228428622E0
1.227299000E0,-1.680106201E0,-8.797355804E0,-2.811154175E-1,8.960761791E0
1.237365000E0,-2.169588318E0,-9.311835938E0,-3.149450684E-1,9.566430494E0
1.247431000E0,-2.060614929E0,-9.062753906E0,-1.113684082E-1,9.294732120E0
1.257497000E0,-2.752027130E0,-8.739575958E0,-8.033793640E-1,9.197785584E0
1.267563000E0,-3.467090149E0,-8.331225128E0,-1.762584686E0,9.194385842E0
1.277629000E0,-4.633015594E0,-7.307354279E0,-1.775158539E0,8.832522170E0
1.287695000E0,-4.685107269E0,-6.211034088E0,-2.520758057E0,8.178104655E0
1.297761000E0,-5.089715881E0,-5.474266205E0,-3.150049438E0,8.111449297E0
1.307827000E0,-5.207071838E0,-5.173092499E0,-2.958896942E0,7.913883639E0
1.317893000E0,-3.681294708E0,-5.237758026E0,-2.476450195E0,6.864316822E0
1.327958000E0,-2.714904327E0,-5.833369446E0,-1.079704742E0,6.524160247E0
1.338024000E0,-2.431992645E0,-6.575975189E0,7.447013855E-1,7.050717557E0
1.348090000E0,-2.190095673E0,-6.778653717E0,2.425556030E0,7.525289850E0
1.358156000E0,-3.409310303E0,-6.920858002E0,2.675685883E0,8.165841485E0
1.368222000E0,-3.553909607E0,-7.035220184E0,3.059038696E0,8.454721420E0
1.378288000E0,-2.498753815E0,-7.310198364E0,3.136427765E0,8.337862428E0
1.388354000E0,-3.646716614E0,-8.464148712E0,4.535119171E0,1.027169224E1
