"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.326874983E-3,-3.949836273E0,4.629722443E0,7.980953522E0,1.003649120E1
1.339287503E-2,-4.082011414E0,4.843028870E0,6.783144379E0,9.280559976E0
2.345887502E-2,-4.093986511E0,5.094954987E0,6.030359802E0,8.892948398E0
3.352487501E-2,-4.030518494E0,5.251080322E0,5.639971619E0,8.696447765E0
4.358987499E-2,-3.906875610E0,5.370831299E0,5.528752899E0,8.641563197E0
5.365587503E-2,-3.670068054E0,5.425018616E0,5.706283722E0,8.686880937E0
6.372187502E-2,-3.273692322E0,5.386398926E0,6.043233032E0,8.732183020E0
7.378787501E-2,-2.871329041E0,5.212460632E0,6.511159973E0,8.820968229E0
8.385287499E-2,-2.649640045E0,5.059628448E0,7.196135559E0,9.187208466E0
9.391887503E-2,-2.835703125E0,5.239853668E0,8.380622406E0,1.028261205E1
1.039848750E-1,-3.009940796E0,5.713319092E0,9.615704041E0,1.158289786E1
1.140498750E-1,-2.771037598E0,6.011648712E0,1.023436752E1,1.218855398E1
1.241158750E-1,-2.277813263E0,5.974226532E0,1.013093262E1,1.197980015E1
1.341818750E-1,-1.969155121E0,5.653742981E0,9.530980225E0,1.125530833E1
1.442478750E-1,-1.639540558E0,5.639522552E0,8.829688568E0,1.060451357E1
1.543128750E-1,-1.433868256E0,5.870641937E0,7.811056824E0,9.875880904E0
1.643788750E-1,-1.345701599E0,5.171296234E0,6.551725616E0,8.454485560E0
1.744443750E-1,-1.683099976E0,4.673431549E0,6.965914307E0,8.555568368E0
1.845103750E-1,-3.269800415E0,6.614295502E0,7.627089386E0,1.061192689E1
1.945753750E-1,-3.317401428E0,7.475454712E0,8.272547150E0,1.163282475E1
2.046413750E-1,-2.328108673E0,6.991660767E0,9.325307922E0,1.188548603E1
2.147073750E-1,-1.053958282E0,6.383176117E0,8.875193939E0,1.098293371E1
2.247723750E-1,-3.742218018E-3,6.120322723E0,8.184230804E0,1.021958894E1
2.348383750E-1,-3.394940186E-1,5.943690033E0,7.496411133E0,9.572820236E0
2.449043750E-1,-1.247954865E0,5.146896973E0,7.714208221E0,9.357186985E0
2.549703750E-1,-1.143023071E0,4.814438324E0,8.261769562E0,9.630272811E0
2.650353750E-1,-6.744973755E-1,4.547842712E0,8.404422913E0,9.579777896E0
2.751013750E-1,1.242416382E-2,4.449646912E0,7.995323639E0,9.150120878E0
2.851673750E-1,9.687854004E-1,4.593797150E0,7.043303375E0,8.464611027E0
2.952333750E-1,1.560804291E0,4.886139221E0,6.450236664E0,8.241117615E0
3.052983750E-1,1.592538300E0,5.076393585E0,6.471043396E0,8.377371467E0
3.153643750E-1,1.372495880E0,5.137616272E0,6.364015961E0,8.293343418E0
3.254303750E-1,1.141975250E0,5.034031677E0,6.176306305E0,8.049369042E0
3.354963750E-1,6.330335999E-1,4.698130188E0,6.030509491E0,7.670736830E0
3.455613750E-1,-2.763403473E0,4.377946014E0,7.308252411E0,8.956191342E0
3.556273750E-1,-3.400778046E0,4.748874664E0,6.415808258E0,8.676387353E0
3.656933750E-1,-2.713407440E0,4.678970032E0,5.544470215E0,7.745740149E0
3.757583750E-1,-2.416874084E0,4.909939728E0,5.319488068E0,7.631889790E0
3.858243750E-1,-1.249302063E0,5.497617645E0,5.019960938E0,7.548812041E0
3.958903750E-1,1.421444092E0,5.577850800E0,4.856201477E0,7.530977070E0
4.059563750E-1,6.081852722E-1,6.198310547E0,4.905299377E0,7.927856264E0
4.160213750E-1,-2.610271912E0,5.880371704E0,3.893553314E0,7.520109590E0
4.260873750E-1,-2.736908569E0,5.014721832E0,4.756359100E0,7.433778007E0
4.361533750E-1,-1.439556427E0,4.154011688E0,5.617368622E0,7.133229707E0
4.462193750E-1,2.402503967E-1,3.851191406E0,7.168143768E0,8.140742017E0
4.562843750E-1,1.885928192E0,4.231999512E0,8.195307770E0,9.414330271E0
4.663503750E-1,2.430346069E0,4.884792023E0,8.934470673E0,1.046864563E1
4.764163750E-1,2.116149445E0,6.055806885E0,9.058712311E0,1.110005199E1
4.864813750E-1,1.285077667E0,5.218897247E0,8.663234711E0,1.019509435E1
4.965473750E-1,-5.403762817E-2,3.607797546E0,8.770561523E0,9.483768905E0
5.066133750E-1,-6.918612671E-1,3.645369415E0,9.157955933E0,9.881070137E0
5.166793750E-1,-5.147795105E-1,3.769012299E0,9.600435791E0,1.032660733E1
5.267443750E-1,4.694238281E-1,3.645070038E0,1.001866608E1,1.067148370E1
5.368103750E-1,1.243613892E0,3.932472382E0,1.023272095E1,1.103265573E1
5.468763750E-1,1.770218811E0,4.538262634E0,9.822124786E0,1.096374196E1
5.569423750E-1,2.163451080E0,4.874313812E0,9.099427643E0,1.054699195E1
5.670073750E-1,2.401605835E0,5.093158722E0,8.555458832E0,1.024225816E1
5.770733750E-1,2.539319458E0,5.218298492E0,8.327782288E0,1.015040592E1
