"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.385208325E-3,-3.334166565E0,6.704707489E0,6.575975189E0,9.965601782E0
1.245020831E-2,-3.410507812E0,6.994055786E0,5.863456879E0,9.743126113E0
2.251520829E-2,-3.248245239E0,7.200177155E0,5.574258270E0,9.667781724E0
3.258020832E-2,-2.876268768E0,7.238647156E0,5.468578033E0,9.517157159E0
4.264620831E-2,-2.518213348E0,7.082970886E0,5.298980713E0,9.197231738E0
5.271120829E-2,-2.607727203E0,6.984026642E0,5.339995422E0,9.170191951E0
6.277620833E-2,-3.021766205E0,7.253166962E0,5.893993378E0,9.822355110E0
7.284120831E-2,-3.359613647E0,7.596552887E0,6.774761810E0,1.071876939E1
8.290620829E-2,-3.396287384E0,7.708969116E0,7.624245300E0,1.136186997E1
9.297120833E-2,-3.185226288E0,7.371870117E0,8.319699097E0,1.156319716E1
1.030362083E-1,-2.871029663E0,6.806795197E0,8.781488800E0,1.147561840E1
1.131012083E-1,-2.400108948E0,6.261329498E0,8.816515961E0,1.107681018E1
1.231662083E-1,-2.093396759E0,5.851332092E0,8.450676727E0,1.048972518E1
1.332312083E-1,-2.112556915E0,5.767805786E0,7.735763397E0,9.877880119E0
1.432972083E-1,-2.479294281E0,4.592150574E0,6.888974304E0,8.642494662E0
1.533622083E-1,-1.059945831E0,3.787424011E0,5.485492859E0,6.749718343E0
1.634272083E-1,-1.080602875E0,4.877457275E0,5.582042084E0,7.491093770E0
1.734922083E-1,-1.594933319E0,5.157973938E0,6.142177277E0,8.177704393E0
1.835572083E-1,-1.177152100E0,4.318669281E0,5.338348846E0,6.966674948E0
1.936222083E-1,-4.590953064E-1,4.571493530E0,4.564458160E0,6.476387874E0
2.036872083E-1,-1.102008362E0,5.244643707E0,5.782325592E0,7.883907616E0
2.137522083E-1,-2.372865601E0,5.542224884E0,7.894583130E0,9.933337335E0
2.238172083E-1,-6.171665955E-1,5.360802155E0,8.835376740E0,1.035292116E1
2.338822083E-1,8.893006897E-1,5.162913666E0,9.425299988E0,1.078345089E1
2.439482083E-1,4.092489624E-1,4.843927002E0,9.227261810E0,1.042945224E1
2.540132083E-1,-4.739144897E-1,4.661606140E0,8.542735291E0,9.743382010E0
2.640782083E-1,-5.794450378E-1,4.334536285E0,7.049141235E0,8.295441731E0
2.741432083E-1,-7.002438354E-1,4.192332001E0,6.034551086E0,7.381178486E0
2.842082083E-1,-1.095721436E0,4.262685699E0,5.684279480E0,7.189028310E0
2.942732083E-1,-1.494342499E0,4.631818085E0,5.699098663E0,7.494432857E0
3.043382083E-1,-1.338516541E0,4.935087433E0,5.395230560E0,7.433385991E0
3.144032083E-1,-1.178499298E0,4.924459534E0,4.944068756E0,7.076932821E0
3.244682083E-1,-1.244961090E0,4.718787231E0,4.471950531E0,6.619306807E0
3.345332083E-1,-1.657054138E0,4.236939240E0,4.025878143E0,6.074963157E0
3.445992083E-1,-6.096671906E0,4.239933014E0,3.590583344E0,8.248559210E0
3.546642083E-1,-9.189390564E0,4.946912842E0,5.900130615E0,1.198867744E1
3.647292083E-1,-2.955005035E0,4.803810425E0,6.805897064E0,8.839054486E0
3.747942083E-1,6.718029785E-1,5.520969086E0,4.003275146E0,6.852636776E0
3.848592083E-1,7.535330200E-1,4.334236908E0,6.420897675E0,7.783402118E0
3.949242083E-1,7.321275330E-1,5.143005066E0,6.521039429E0,8.337293749E0
4.049892083E-1,2.099533997E0,5.568420410E0,6.301745453E0,8.667603165E0
4.150542083E-1,3.214714966E0,5.129084015E0,6.321504364E0,8.752331836E0
4.251192083E-1,3.140768738E0,4.995711365E0,6.218817902E0,8.572937443E0
4.351852083E-1,3.306474152E0,4.758305054E0,7.096442871E0,9.161535882E0
4.452502083E-1,2.577490082E0,3.753294983E0,6.706354065E0,8.105915321E0
4.553152083E-1,2.082768860E0,3.345692596E0,5.597759399E0,6.845910850E0
4.653802083E-1,3.356619873E0,3.391497345E0,5.658383331E0,7.401787158E0
4.754452083E-1,3.957620087E0,2.769690399E0,6.070476379E0,7.757875040E0
4.855102083E-1,3.824995880E0,1.824406128E0,5.586682434E0,7.012137465E0
4.955752083E-1,2.543660431E0,9.015751648E-1,5.458848267E0,6.089504952E0
5.056402083E-1,1.644180908E0,2.189197540E0,6.045628052E0,6.636681043E0
5.157052083E-1,2.529440002E0,1.834584961E0,4.367767181E0,5.370396527E0
5.257702083E-1,3.065325623E0,8.822653198E-1,3.075055389E0,4.430640915E0
5.358362083E-1,2.725083160E0,-8.358618164E-1,3.388952637E0,4.428288968E0
5.459012083E-1,2.564616852E0,-2.861449585E0,4.090543671E0,5.612281251E0
5.559662083E-1,5.132826233E0,-8.657995605E-1,4.653672638E0,6.982276351E0
5.660312083E-1,6.123166809E0,-1.610650635E-1,6.034251709E0,8.598331665E0
5.760962083E-1,8.072413330E0,-5.054988098E-1,7.524402924E0,1.104699169E1
